@relation pageBlocks.data
@attribute height numeric
@attribute lenght numeric
@attribute area numeric
@attribute eccen numeric
@attribute p_black numeric
@attribute p_and numeric
@attribute mean_tr numeric
@attribute blackpix numeric
@attribute blackand numeric
@attribute wb_trans numeric
@attribute class  hierarchical 1-2-3-4-5/1-2/1, 1-2-3-4-5/1-2/2, 1-2-3-4-5/3-4-5/3-5/3, 1-2-3-4-5/3-4-5/4, 1-2-3-4-5/3-4-5/3-5/5

@data
9,9,81,1,0.358,0.728,2.23,29,59,13,1-2-3-4-5/1-2/1
8,45,360,5.625,0.297,0.564,1.88,107,203,57,1-2-3-4-5/1-2/1
10,20,200,2,0.32,0.61,2.13,64,122,30,1-2-3-4-5/1-2/1
9,18,162,2,0.321,0.654,2.26,52,106,23,1-2-3-4-5/1-2/1
8,19,152,2.375,0.434,0.664,3,66,101,22,1-2-3-4-5/1-2/1
5,5,25,1,0.52,1,2.17,13,25,6,1-2-3-4-5/1-2/1
10,18,180,1.8,0.294,0.883,1.96,53,159,27,1-2-3-4-5/1-2/1
10,23,230,2.3,0.348,0.891,2.22,80,205,36,1-2-3-4-5/1-2/1
7,62,434,8.857,0.392,0.871,1.87,170,378,91,1-2-3-4-5/1-2/1
10,30,300,3,0.357,0.87,2.14,107,261,50,1-2-3-4-5/1-2/1
10,262,2620,26.2,0.288,0.742,1.79,754,1945,421,1-2-3-4-5/1-2/1
7,20,140,2.857,0.436,0.736,2.35,61,103,26,1-2-3-4-5/1-2/1
8,14,112,1.75,0.384,0.795,1.72,43,89,25,1-2-3-4-5/1-2/1
10,46,460,4.6,0.3,0.604,2.09,138,278,66,1-2-3-4-5/1-2/1
10,262,2620,26.2,0.274,0.757,1.8,719,1984,399,1-2-3-4-5/1-2/1
8,33,264,4.125,0.326,0.848,2,86,224,43,1-2-3-4-5/1-2/1
9,18,162,2,0.327,0.914,1.89,53,148,28,1-2-3-4-5/1-2/1
8,22,176,2.75,0.398,0.818,2.06,70,144,34,1-2-3-4-5/1-2/1
10,31,310,3.1,0.339,0.713,2.14,105,221,49,1-2-3-4-5/1-2/1
8,50,400,6.25,0.378,0.915,1.7,151,366,89,1-2-3-4-5/1-2/1
7,12,84,1.714,0.393,0.69,2.36,33,58,14,1-2-3-4-5/1-2/1
8,24,192,3,0.323,0.688,2.21,62,132,28,1-2-3-4-5/1-2/1
8,25,200,3.125,0.31,0.67,1.63,62,134,38,1-2-3-4-5/1-2/1
7,21,147,3,0.313,0.667,2.09,46,98,22,1-2-3-4-5/1-2/1
8,25,200,3.125,0.335,0.77,1.68,67,154,40,1-2-3-4-5/1-2/1
8,12,96,1.5,0.458,0.865,2.1,44,83,21,1-2-3-4-5/1-2/1
7,20,140,2.857,0.407,0.929,1.97,57,130,29,1-2-3-4-5/1-2/1
8,7,56,0.875,0.518,1,2.64,29,56,11,1-2-3-4-5/1-2/1
6,7,42,1.167,0.5,1,1.75,21,42,12,1-2-3-4-5/1-2/1
8,12,96,1.5,0.396,0.844,2.11,38,81,18,1-2-3-4-5/1-2/1
9,56,504,6.222,0.327,0.688,1.94,165,347,85,1-2-3-4-5/1-2/1
10,20,200,2,0.375,0.855,2.27,75,171,33,1-2-3-4-5/1-2/1
8,168,1344,21,0.32,0.909,1.76,430,1222,245,1-2-3-4-5/1-2/1
7,3,21,0.429,0.571,1,3,12,21,4,1-2-3-4-5/1-2/1
8,25,200,3.125,0.3,0.59,2.22,60,118,27,1-2-3-4-5/1-2/1
8,46,368,5.75,0.356,0.957,1.79,131,352,73,1-2-3-4-5/1-2/1
10,35,350,3.5,0.091,0.157,2.67,32,55,12,1-2-3-4-5/1-2/1
7,49,343,7,0.318,0.612,1.91,109,210,57,1-2-3-4-5/1-2/1
7,23,161,3.286,0.348,1,1.37,56,161,41,1-2-3-4-5/1-2/1
8,12,96,1.5,0.427,0.75,2.05,41,72,20,1-2-3-4-5/1-2/1
7,36,252,5.143,0.409,0.861,1.84,103,217,56,1-2-3-4-5/1-2/1
7,12,84,1.714,0.452,0.952,2,38,80,19,1-2-3-4-5/1-2/1
7,16,112,2.286,0.42,0.768,1.96,47,86,24,1-2-3-4-5/1-2/1
15,67,1005,4.467,0.293,0.607,3.59,294,610,82,1-2-3-4-5/1-2/1
25,185,4625,7.4,0.479,0.95,7.24,2214,4395,306,1-2-3-4-5/1-2/1
25,291,7275,11.64,0.466,0.957,7.34,3392,6963,462,1-2-3-4-5/1-2/1
10,509,5090,50.9,0.097,0.388,1.23,492,1974,401,1-2-3-4-5/1-2/1
1,88,88,88,0.193,1,1,17,88,17,1-2-3-4-5/1-2/1
9,510,4590,56.667,0.149,0.541,1.22,686,2484,561,1-2-3-4-5/1-2/1
1,40,40,40,0.175,1,1.17,7,40,6,1-2-3-4-5/1-2/1
9,518,4662,57.556,0.096,0.429,1.25,449,2001,360,1-2-3-4-5/1-2/1
9,283,2547,31.444,0.186,0.727,1.22,474,1852,389,1-2-3-4-5/1-2/1
2,535,1070,267.5,0.648,0.92,11.75,693,984,59,1-2-3-4-5/1-2/2
5,98,490,19.6,0.341,0.639,2.14,167,313,78,1-2-3-4-5/1-2/1
8,73,584,9.125,0.433,0.875,2.75,253,511,92,1-2-3-4-5/1-2/1
9,107,963,11.889,0.357,0.693,2.44,344,667,141,1-2-3-4-5/1-2/1
5,4,20,0.8,0.45,0.45,9,9,9,1,1-2-3-4-5/1-2/1
9,535,4815,59.444,0.088,0.318,1.37,425,1530,310,1-2-3-4-5/1-2/1
9,520,4680,57.778,0.081,0.308,1.37,378,1441,276,1-2-3-4-5/1-2/1
9,267,2403,29.667,0.131,0.517,1.35,315,1242,234,1-2-3-4-5/1-2/1
8,214,1712,26.75,0.421,0.807,2.9,720,1382,248,1-2-3-4-5/1-2/1
9,103,927,11.444,0.383,0.825,2.75,355,765,129,1-2-3-4-5/1-2/1
1,249,249,249,0.173,1,1.02,43,249,42,1-2-3-4-5/1-2/1
8,508,4064,63.5,0.092,0.393,1.28,372,1599,290,1-2-3-4-5/1-2/1
9,69,621,7.667,0.209,0.808,1.38,130,502,94,1-2-3-4-5/1-2/1
7,193,1351,27.571,0.206,0.813,1.37,278,1099,203,1-2-3-4-5/1-2/1
9,107,963,11.889,0.191,0.739,1.36,184,712,135,1-2-3-4-5/1-2/1
25,471,11775,18.84,0.449,0.886,7.8,5290,10437,678,1-2-3-4-5/1-2/1
8,83,664,10.375,0.437,0.866,2.52,290,575,115,1-2-3-4-5/1-2/1
9,108,972,12,0.329,0.691,2.27,320,672,141,1-2-3-4-5/1-2/1
9,534,4806,59.333,0.14,0.518,1.32,671,2491,507,1-2-3-4-5/1-2/1
9,138,1242,15.333,0.155,0.717,1.34,193,890,144,1-2-3-4-5/1-2/1
9,284,2556,31.556,0.141,0.601,1.26,361,1537,286,1-2-3-4-5/1-2/1
9,536,4824,59.556,0.154,0.602,1.36,743,2904,547,1-2-3-4-5/1-2/1
25,494,12350,19.76,0.462,0.93,7.35,5707,11482,776,1-2-3-4-5/1-2/1
7,215,1505,30.714,0.548,0.997,3.35,824,1500,246,1-2-3-4-5/1-2/1
9,250,2250,27.778,0.347,0.737,2.44,781,1659,320,1-2-3-4-5/1-2/1
9,535,4815,59.444,0.136,0.498,1.39,655,2399,470,1-2-3-4-5/1-2/1
8,215,1720,26.875,0.404,0.789,2.91,695,1357,239,1-2-3-4-5/1-2/1
9,169,1521,18.778,0.333,0.726,2.3,507,1104,220,1-2-3-4-5/1-2/1
1,214,214,214,1,1,214,214,214,1,1-2-3-4-5/1-2/2
5,29,145,5.8,0.317,0.952,1.39,46,138,33,1-2-3-4-5/1-2/1
7,262,1834,37.429,0.152,0.684,1.28,279,1254,218,1-2-3-4-5/1-2/1
9,262,2358,29.111,0.089,0.43,1.19,210,1015,176,1-2-3-4-5/1-2/1
8,209,1672,26.125,0.173,0.828,1.27,290,1384,228,1-2-3-4-5/1-2/1
9,103,927,11.444,0.164,0.771,1.22,152,715,125,1-2-3-4-5/1-2/1
10,219,2190,21.9,0.153,0.601,1.24,334,1317,270,1-2-3-4-5/1-2/1
8,175,1400,21.875,0.156,0.882,1.2,219,1235,183,1-2-3-4-5/1-2/1
1,36,36,36,0.222,1,1.14,8,36,7,1-2-3-4-5/1-2/1
13,38,494,2.923,0.285,0.907,3.62,141,448,39,1-2-3-4-5/1-2/1
8,63,504,7.875,0.321,0.954,1.82,162,481,89,1-2-3-4-5/1-2/1
9,183,1647,20.333,0.327,0.744,2.25,538,1225,239,1-2-3-4-5/1-2/1
2,538,1076,269,0.519,0.684,34.88,558,736,16,1-2-3-4-5/1-2/2
8,187,1496,23.375,0.155,0.747,1.38,232,1118,168,1-2-3-4-5/1-2/1
8,14,112,1.75,0.286,0.884,2.67,32,99,12,1-2-3-4-5/1-2/1
10,474,4740,47.4,0.187,0.578,1.51,886,2740,585,1-2-3-4-5/1-2/1
13,375,4875,28.846,0.154,0.519,1.44,751,2531,521,1-2-3-4-5/1-2/1
8,15,120,1.875,0.317,0.742,2,38,89,19,1-2-3-4-5/1-2/1
2,537,1074,268.5,0.538,0.555,82.57,578,596,7,1-2-3-4-5/1-2/2
9,106,954,11.778,0.373,0.649,2.8,356,619,127,1-2-3-4-5/1-2/1
9,536,4824,59.556,0.126,0.493,1.34,609,2377,456,1-2-3-4-5/1-2/1
25,186,4650,7.44,0.456,0.868,8.06,2121,4035,263,1-2-3-4-5/1-2/1
8,60,480,7.5,0.433,0.842,3.01,208,404,69,1-2-3-4-5/1-2/1
8,62,496,7.75,0.214,0.645,1.43,106,320,74,1-2-3-4-5/1-2/1
9,341,3069,37.889,0.072,0.305,1.35,222,935,165,1-2-3-4-5/1-2/1
9,144,1296,16,0.123,0.612,1.33,160,793,120,1-2-3-4-5/1-2/1
9,99,891,11,0.21,0.778,1.39,187,693,135,1-2-3-4-5/1-2/1
7,14,98,2,0.245,0.867,1.85,24,85,13,1-2-3-4-5/1-2/1
7,13,91,1.857,0.242,0.857,2,22,78,11,1-2-3-4-5/1-2/1
5,13,65,2.6,0.262,0.769,2.43,17,50,7,1-2-3-4-5/1-2/1
7,168,1176,24,0.081,0.369,1.14,95,434,83,1-2-3-4-5/1-2/1
8,190,1520,23.75,0.118,0.62,1.21,179,943,148,1-2-3-4-5/1-2/1
8,242,1936,30.25,0.128,0.574,1.27,247,1111,195,1-2-3-4-5/1-2/1
10,504,5040,50.4,0.139,0.665,1.19,701,3352,590,1-2-3-4-5/1-2/1
1,118,118,118,0.186,1,1.05,22,118,21,1-2-3-4-5/1-2/1
2,536,1072,268,0.586,0.686,21.66,628,735,29,1-2-3-4-5/1-2/2
153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302,1-2-3-4-5/3-4-5/3-5/3
11,20,220,1.818,0.223,0.373,2.58,49,82,19,1-2-3-4-5/1-2/1
11,53,583,4.818,0.225,0.485,3.45,131,283,38,1-2-3-4-5/1-2/1
14,12,168,0.857,0.661,0.851,9.25,111,143,12,1-2-3-4-5/1-2/1
12,84,1008,7,0.42,0.565,4.75,423,570,89,1-2-3-4-5/1-2/1
11,190,2090,17.273,0.239,0.457,2.11,500,955,237,1-2-3-4-5/1-2/1
14,11,154,0.786,0.526,0.708,8.1,81,109,10,1-2-3-4-5/1-2/1
11,123,1353,11.182,0.48,0.656,5.74,649,887,113,1-2-3-4-5/1-2/1
10,10,100,1,0.56,0.69,28,56,69,2,1-2-3-4-5/1-2/1
42,1,42,0.024,1,1,42,42,42,1,1-2-3-4-5/3-4-5/4
13,6,78,0.462,0.436,0.449,34,34,35,1,1-2-3-4-5/1-2/1
1,104,104,104,0.971,1,50.5,101,104,2,1-2-3-4-5/1-2/2
4,9,36,2.25,0.611,0.611,22,22,22,1,1-2-3-4-5/1-2/2
10,155,1550,15.5,0.326,0.642,2.8,506,995,181,1-2-3-4-5/1-2/1
14,1,14,0.071,1,1,14,14,14,1,1-2-3-4-5/3-4-5/4
13,322,4186,24.769,0.375,0.714,4.62,1571,2990,340,1-2-3-4-5/1-2/1
1,117,117,117,0.974,1,38,114,117,3,1-2-3-4-5/1-2/2
8,141,1128,17.625,0.447,0.932,2.45,504,1051,206,1-2-3-4-5/1-2/1
24,336,8064,14,0.898,0.958,15.91,7238,7729,455,1-2-3-4-5/1-2/1
9,20,180,2.222,0.55,0.733,9.9,99,132,10,1-2-3-4-5/1-2/1
3,3,9,1,0.778,0.778,7,7,7,1,1-2-3-4-5/1-2/1
10,18,180,1.8,0.467,0.778,8.4,84,140,10,1-2-3-4-5/1-2/1
14,367,5138,26.214,0.349,0.576,4.5,1791,2962,398,1-2-3-4-5/1-2/1
3,4,12,1.333,0.667,0.667,8,8,8,1,1-2-3-4-5/1-2/1
9,18,162,2,0.66,0.883,7.13,107,143,15,1-2-3-4-5/1-2/1
13,400,5200,30.769,0.364,0.609,4.52,1891,3168,418,1-2-3-4-5/1-2/1
9,18,162,2,0.605,0.895,7,98,145,14,1-2-3-4-5/1-2/1
27,1,27,0.037,1,1,27,27,27,1,1-2-3-4-5/3-4-5/4
14,419,5866,29.929,0.373,0.603,4.51,2188,3535,485,1-2-3-4-5/1-2/1
14,390,5460,27.857,0.358,0.59,4.44,1956,3224,441,1-2-3-4-5/1-2/1
12,1,12,0.083,1,1,12,12,12,1,1-2-3-4-5/3-4-5/4
14,284,3976,20.286,0.365,0.54,5.1,1453,2147,285,1-2-3-4-5/1-2/1
8,215,1720,26.875,0.366,0.792,2.86,629,1362,220,1-2-3-4-5/1-2/1
7,14,98,2,0.102,0.204,10,10,20,1,1-2-3-4-5/1-2/2
166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641,1-2-3-4-5/3-4-5/3-5/3
3,4,12,1.333,0.75,0.75,9,9,9,1,1-2-3-4-5/1-2/1
24,170,4080,7.083,0.931,0.999,17.04,3799,4075,223,1-2-3-4-5/1-2/1
10,19,190,1.9,0.611,0.874,8.92,116,166,13,1-2-3-4-5/1-2/1
12,23,276,1.917,0.576,0.826,7.57,159,228,21,1-2-3-4-5/1-2/1
7,79,553,11.286,0.566,0.967,3.56,313,535,88,1-2-3-4-5/1-2/1
8,82,656,10.25,0.412,0.803,2.78,270,527,97,1-2-3-4-5/1-2/1
16,341,5456,21.313,0.378,0.724,5.23,2060,3949,394,1-2-3-4-5/1-2/1
15,222,3330,14.8,0.414,0.728,5.34,1378,2425,258,1-2-3-4-5/1-2/1
17,398,6766,23.412,0.32,0.608,5.3,2162,4117,408,1-2-3-4-5/1-2/1
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,1-2-3-4-5/3-4-5/3-5/3
16,309,4944,19.313,0.382,0.549,5.38,1890,2713,351,1-2-3-4-5/1-2/1
3,4,12,1.333,0.833,0.917,10,10,11,1,1-2-3-4-5/1-2/1
1,9,9,9,1,1,9,9,9,1,1-2-3-4-5/1-2/1
9,82,738,9.111,0.306,0.695,2.86,226,513,79,1-2-3-4-5/1-2/1
1,14,14,14,0.5,1,2.33,7,14,3,1-2-3-4-5/1-2/2
11,22,242,2,0.632,0.864,8.05,153,209,19,1-2-3-4-5/1-2/1
3,4,12,1.333,0.917,0.917,11,11,11,1,1-2-3-4-5/1-2/1
12,22,264,1.833,0.568,0.837,7.5,150,221,20,1-2-3-4-5/1-2/1
11,436,4796,39.636,0.336,0.755,2.86,1612,3623,564,1-2-3-4-5/1-2/1
8,94,752,11.75,0.485,0.922,3.07,365,693,119,1-2-3-4-5/1-2/1
9,150,1350,16.667,0.284,0.756,1.76,384,1020,218,1-2-3-4-5/1-2/1
8,13,104,1.625,0.683,0.817,7.1,71,85,10,1-2-3-4-5/1-2/1
9,358,3222,39.778,0.385,0.863,2.36,1240,2782,525,1-2-3-4-5/1-2/1
10,238,2380,23.8,0.353,0.727,2.85,840,1730,295,1-2-3-4-5/1-2/1
8,162,1296,20.25,0.204,0.412,3.12,265,534,85,1-2-3-4-5/1-2/1
9,168,1512,18.667,0.268,0.661,1.89,405,1000,214,1-2-3-4-5/1-2/1
8,206,1648,25.75,0.236,0.793,1.64,389,1307,237,1-2-3-4-5/1-2/1
7,219,1533,31.286,0.195,0.617,1.44,299,946,207,1-2-3-4-5/1-2/1
9,166,1494,18.444,0.274,0.606,1.88,409,905,217,1-2-3-4-5/1-2/1
8,109,872,13.625,0.219,0.595,1.61,191,519,119,1-2-3-4-5/1-2/1
17,11,187,0.647,0.417,0.647,9.75,78,121,8,1-2-3-4-5/1-2/1
19,130,2470,6.842,0.208,0.65,1.93,514,1606,267,1-2-3-4-5/1-2/1
6,21,126,3.5,0.198,0.444,1.67,25,56,15,1-2-3-4-5/3-4-5/4
7,192,1344,27.429,0.136,0.385,1.36,183,518,135,1-2-3-4-5/1-2/1
10,189,1890,18.9,0.263,0.515,2.34,498,973,213,1-2-3-4-5/1-2/1
5,92,460,18.4,0.287,0.604,1.38,132,278,96,1-2-3-4-5/1-2/1
6,60,360,10,0.292,0.822,1.57,105,296,67,1-2-3-4-5/1-2/1
9,58,522,6.444,0.351,0.669,2.29,183,349,80,1-2-3-4-5/1-2/1
9,184,1656,20.444,0.214,0.798,1.46,354,1322,242,1-2-3-4-5/1-2/1
16,24,384,1.5,0.393,0.935,4.72,151,359,32,1-2-3-4-5/1-2/1
1,18,18,18,0.389,1,3.5,7,18,2,1-2-3-4-5/1-2/1
6,96,576,16,0.259,0.74,1.69,149,426,88,1-2-3-4-5/1-2/1
17,24,408,1.412,0.407,0.809,4.88,166,330,34,1-2-3-4-5/1-2/1
5,82,410,16.4,0.361,0.802,2.11,148,329,70,1-2-3-4-5/1-2/1
13,242,3146,18.615,0.231,0.614,2.33,726,1932,312,1-2-3-4-5/1-2/1
5,96,480,19.2,0.329,0.717,2.14,158,344,74,1-2-3-4-5/1-2/1
37,1,37,0.027,1,1,37,37,37,1,1-2-3-4-5/3-4-5/4
5,39,195,7.8,0.395,0.826,3.67,77,161,21,1-2-3-4-5/1-2/1
1,63,63,63,0.952,1,20,60,63,3,1-2-3-4-5/1-2/2
7,76,532,10.857,0.301,0.859,1.38,160,457,116,1-2-3-4-5/1-2/1
1,76,76,76,0.961,1,36.5,73,76,2,1-2-3-4-5/1-2/2
1,29,29,29,0.31,1,1.13,9,29,8,1-2-3-4-5/1-2/1
5,56,280,11.2,0.121,0.471,1.31,34,132,26,1-2-3-4-5/1-2/1
6,82,492,13.667,0.104,0.303,1.31,51,149,39,1-2-3-4-5/1-2/1
5,12,60,2.4,0.2,0.467,1.71,12,28,7,1-2-3-4-5/1-2/1
9,72,648,8,0.255,0.494,2.01,165,320,82,1-2-3-4-5/1-2/1
8,54,432,6.75,0.188,0.78,1.53,81,337,53,1-2-3-4-5/1-2/1
9,98,882,10.889,0.185,0.662,1.58,163,584,103,1-2-3-4-5/1-2/1
6,59,354,9.833,0.237,0.881,1.38,84,312,61,1-2-3-4-5/1-2/1
7,22,154,3.143,0.097,0.403,1.36,15,62,11,1-2-3-4-5/1-2/1
6,40,240,6.667,0.221,0.621,1.43,53,149,37,1-2-3-4-5/1-2/1
6,8,48,1.333,0.417,1,2.86,20,48,7,1-2-3-4-5/1-2/1
5,29,145,5.8,0.276,0.779,1.6,40,113,25,1-2-3-4-5/1-2/1
5,110,550,22,0.547,0.556,100.33,301,306,3,1-2-3-4-5/1-2/2
16,112,1792,7,0.305,0.879,2.72,546,1576,201,1-2-3-4-5/1-2/1
12,117,1404,9.75,0.2,0.714,1.6,281,1002,176,1-2-3-4-5/1-2/1
13,377,4901,29,0.178,0.746,1.59,872,3655,548,1-2-3-4-5/1-2/1
1,17,17,17,1,1,17,17,17,1,1-2-3-4-5/1-2/2
9,299,2691,33.222,0.226,0.705,1.58,607,1896,385,1-2-3-4-5/1-2/1
1,161,161,161,0.41,1,1.02,66,161,65,1-2-3-4-5/1-2/2
10,263,2630,26.3,0.204,0.589,1.54,537,1550,348,1-2-3-4-5/1-2/1
7,35,245,5,0.188,0.849,1.21,46,208,38,1-2-3-4-5/1-2/1
8,340,2720,42.5,0.183,0.736,1.41,499,2002,355,1-2-3-4-5/1-2/1
7,42,294,6,0.143,0.714,1.27,42,210,33,1-2-3-4-5/1-2/1
1,10,10,10,1,1,10,10,10,1,1-2-3-4-5/1-2/2
9,7,63,0.778,0.349,0.603,3.67,22,38,6,1-2-3-4-5/1-2/1
10,36,360,3.6,0.356,0.672,2.33,128,242,55,1-2-3-4-5/1-2/1
7,9,63,1.286,0.444,0.825,3.11,28,52,9,1-2-3-4-5/1-2/1
11,11,121,1,0.438,0.868,4.08,53,105,13,1-2-3-4-5/1-2/1
11,12,132,1.091,0.432,0.674,4.38,57,89,13,1-2-3-4-5/1-2/1
36,5,180,0.139,0.656,0.817,7.87,118,147,15,1-2-3-4-5/1-2/1
1,14,14,14,1,1,14,14,14,1,1-2-3-4-5/1-2/2
7,1,7,0.143,1,1,7,7,7,1,1-2-3-4-5/3-4-5/4
9,1,9,0.111,1,1,9,9,9,1,1-2-3-4-5/3-4-5/4
10,11,110,1.1,0.491,0.845,4.5,54,93,12,1-2-3-4-5/1-2/1
1,70,70,70,0.943,1,22,66,70,3,1-2-3-4-5/1-2/2
11,193,2123,17.545,0.243,0.683,1.59,516,1451,325,1-2-3-4-5/1-2/1
1,87,87,87,0.92,1,16,80,87,5,1-2-3-4-5/1-2/2
